sample_no,pid,ppid,cpu_children_sys,cpu_children_user,cpu_user,cpu_sys,cpu_percent,cpu_num,label
20987020,1314,1212,0,0,0.96,0.4,7.7,1,0
20987021,1311,1212,0,0,0.63,0.28,3.6,0,0
20987022,1310,1212,0,0,0.87,0.35,6.3,0,0
20987024,1319,1212,0,0,0.77,0.29,0,0,0
20987040,1320,1212,0,0,0.14,0.04,0,0,0
20987041,1321,1212,0,0,0.47,0.19,0,0,0
20987067,1307,1212,0,0,0.77,0.36,5.6,0,0
20987070,1227,1212,0,0,0.9,0.31,7.1,0,0
20987098,1183,1,0,0,0,0,0,0,0
20987108,1291,1290,1.1,0.17,0.22,0.21,2.3,0,0
20987100,234,2,0,0,0,0,0,0,0
20987015,8,2,0,0,0,0,0,0,0
20987052,7,2,0,0,0,0.03,0.3,1,0
20987048,398,2,0,0,0,0,0,1,0
20987054,1010,1,0,0,0.01,0.02,0.3,1,0
20987076,65,2,0,0,0,0,0,1,0
20987078,67,2,0,0,0,0,0,0,0
20987077,66,2,0,0,0,0,0,1,0
20987079,68,2,0,0,0,0,0,1,0
20986992,1267,1,0,0,0,0,0,0,0
20987110,1176,1157,0,0,0,0,0,0,0
20987114,1041,1,0,0,0,0,0,0,0
20987068,1245,1,0,0,0,0,0,1,0
20987107,1290,1,0,0,0,0,0,1,0
20987104,1,0,0,0,0,0,0,1,0
20987053,365,1,0,0,0,0,0,0,0
20987085,1037,1,0,0,0,0,0,1,0
20987084,505,1,0,0,0,0,0,1,0
20987030,422,1,0,0,0,0,0,1,0
20986991,1268,1267,0,0,0,0,0,1,0
20987033,55,2,0,0,0,0,0,1,0
20987065,35,2,0,0,0,0,0,1,0
20987088,10,2,0,0,0,0,0,0,0
20987087,11,2,0,0,0,0,0,1,0
20987005,20,2,0,0,0,0,0,1,0
20987227,1053,1,0,0,0,0,0,1,0
20987226,1051,1,0,0,0,0,0,1,0
20987158,54,2,0,0,0,0,0,1,0
20987234,1177,1,0,0,0,0,0,1,0
20987235,1174,1,0,0,0,0,0,0,0
20987129,27,2,0,0,0,0,0,1,0
20987195,1004,1,0,0,0,0,0,1,0
20987208,506,1,0,0,0,0,0,1,0
20987119,133,2,0,0,0,0,0,1,0
20987120,132,2,0,0,0,0,0,1,0
20987121,131,2,0,0,0,0,0,1,0
20987122,130,2,0,0,0,0,0,1,0
20987123,135,2,0,0,0,0,0,1,0
20987124,134,2,0,0,0,0,0,1,0
20987125,138,2,0,0,0,0,0,1,0
20987127,25,2,0,0,0,0,0,1,0
20987149,263,2,0,0,0,0,0,0,0
20987152,128,2,0,0,0,0,0,1,0
20987155,59,2,0,0,0,0,0,1,0
20987156,58,2,0,0,0,0,0,1,0
20987159,57,2,0,0,0,0,0,1,0
20987160,56,2,0,0,0,0,0,1,0
20987196,60,2,0,0,0,0,0,1,0
20987197,61,2,0,0,0,0,0,1,0
20987198,62,2,0,0,0,0,0,1,0
20987199,63,2,0,0,0,0,0,1,0
20987200,64,2,0,0,0,0,0,1,0
20987170,88,2,0,0,0,0,0,0,0
20987178,1019,1,0,0,0,0,0,1,0
20987133,23,2,0,0,0,0,0,1,0
20987215,1026,1,0,0,0,0,0,1,0
20987176,87,2,0,0,0,0,0,0,0
20987137,29,2,0,0,0,0,0,1,0
20987186,846,1,0,0,0,0,0,1,0
20987190,37,2,0,0,0,0,0,1,0
20987141,285,2,0,0,0,0,0,0,0
20987191,36,2,0,0,0,0,0,0,0
20987171,390,2,0,0,0,0,0,1,0
20987173,396,2,0,0,0,0,0,1,0
20987169,393,2,0,0,0,0,0,1,0
20987174,394,2,0,0,0,0,0,1,0
20987236,74,2,0,0,0,0,0,0,0
20987222,1184,1,0,0,0,0,0,1,0
20987134,1076,1,0,0,0,0,0,0,0
20987135,1077,1,0,0,0,0,0,0,0
20987163,375,2,0,0,0,0,0,1,0
20987172,397,2,0,0,0,0,0,1,0
20987142,284,2,0,0,0,0,0,1,0
20987185,382,2,0,0,0,0,0,1,0
20987128,26,2,0,0,0,0,0,1,0
20987219,16,2,0,0,0,0,0,0,0
20987132,22,2,0,0,0,0,0,1,0
20987220,19,2,0,0,0,0,0,1,0
